Resource_ID,Resource_Type,Building_ID,Floor_Number,Capacity,Computer_Count,Has_Computers,Has_Projector,Has_Smart_Board,Special_Equipment,Availability_Calendar_ID,Room_Number,Room_Features
Eng101,classroom,engineering,1,60,30,true,true,true,"",,101,"Tier 1 Tech Classroom"
Eng201,classroom,engineering,2,40,40,true,true,false,"Lab Equipment: Robotics Kits",,201,"Computer Lab"
EngLab201,lab,engineering,2,30,30,true,true,true,"Specialized Software: MATLAB, AutoCAD",,201,"Engineering Lab"
Eng301,lecture_hall,engineering,3,100,0,false,true,true,"Recording Equipment",,301,"Large Lecture Hall"
Sci101,classroom,science,1,40,20,true,true,false,"",,101,"Standard Classroom"
Sci201,classroom,science,2,30,0,false,true,true,"",,201,"Traditional Classroom"
SciLab101,lab,science,1,25,25,true,true,false,"Lab Equipment: Microscopes, Glassware",,101,"Biology Lab"
SciLab201,lab,science,2,20,20,true,true,true,"Lab Equipment: Fume Hoods, Chemical Storage",,201,"Chemistry Lab"
Hum101,classroom,humanities,1,50,0,false,true,false,"Blackboards, Whiteboards",,101,"Lecture Room"
Hum105,classroom,humanities,1,50,0,false,false,true,"Blackboards Only",,105,"Traditional Room"
Hum201,seminar_room,humanities,2,20,0,false,true,true,"Conference Phone",,201,"Seminar Room"
Lib101,study_space,library,1,100,50,true,true,false,"",,101,"Computer Lab"
Lib201,study_space,library,2,40,0,false,true,true,"Whiteboards",,201,"Study Room"
Auditorium,lecture_hall,main,1,200,0,false,true,true,"Recording Equipment, PA System",,A100,"Main Auditorium"
Gym101,activity_center,student_center,1,150,0,false,false,false,"",G101,"Gymnasium"
