Holiday_Name,Start_Date,End_Date,Year,Affects_All_Departments,Affected_Departments,Notes
Labor Day,2024-09-02,2024-09-02,2024,TRUE,,"No classes"
Fall Break,2024-10-14,2024-10-18,2024,TRUE,,"No classes, residence halls remain open"
Thanksgiving Break,2024-11-27,2024-11-29,2024,TRUE,,"No classes, dining services limited"
Winter Break,2024-12-20,2025-01-12,2025,TRUE,,"No classes, residence halls close Dec 22"
Spring Break,2025-03-10,2025-03-17,2025,TRUE,,"No classes, residence halls remain open"
Memorial Day,2025-05-26,2025-05-26,2025,TRUE,,"No classes"
Independence Day,2025-07-04,2025-07-04,2025,FALSE,"Only administration office closed"
Faculty Planning Day,2024-08-19,2024-08-19,2024,TRUE,,"Faculty only, no classes"
New Student Orientation,2024-08-20,2024-08-23,2024,FALSE,"Student services affected"
Final Exams Fall,2024-12-09,2024-12-13,2024,TRUE,,"No regular classes, study halls available"
Final Exams Spring,2025-05-05,2025-05-09,2025,TRUE,,"No regular classes, study halls available"
Graduation,2025-05-16,2025-05-17,2025,FALSE,"Campus-wide event, some buildings restricted"
Science Symposium,2024-11-08,2024-11-08,2024,FALSE,science,"Special event in Science Building"
Engineering Expo,2024-04-15,2024-04-15,2024,FALSE,"cs,engineering","Career fair in Engineering Building"
